Overall Score,Country,Happiness Score,GDP per capita,Life Expectancy,Social Support,Freedom,Trust,Generosity
1,Norway,7.537000179,1.616463184,0.796666503,1.53352356,0.6354225874,0.3159638345,0.3620122373
2,Denmark,7.521999836,1.482383013,0.7925655246,1.551121593,0.6260067225,0.4007700682,0.3552804887
3,Iceland,7.504000187,1.48063302,0.8335521221,1.610574007,0.6271626353,0.1535265595,0.4755402207
4,Switzerland,7.493999958,1.564979553,0.8581312895,1.516911745,0.6200705767,0.3670072854,0.2905492783
5,Finland,7.468999863,1.443571925,0.8091576695,1.540246725,0.6179508567,0.3826115429,0.2454827726
6,Netherlands,7.376999855,1.503944635,0.810696125,1.428939223,0.5853844881,0.2826618254,0.4704898298
7,Canada,7.315999985,1.479204416,0.8345576525,1.481348991,0.6111009121,0.2873715162,0.4355397224
8,New Zealand,7.31400013,1.405706048,0.8167597055,1.548195124,0.6140621305,0.3828167021,0.500005126
9,Sweden,7.28399992,1.494387269,0.8308751583,1.478162169,0.612924099,0.3843987286,0.3853992522
10,Australia,7.28399992,1.484414935,0.8438867927,1.510041952,0.6016073823,0.3011837304,0.47769925
11,Israel,7.212999821,1.375382423,0.8384039998,1.376289964,0.4059886038,0.08524210006,0.330082655
12,Costa Rica,7.078999996,1.109706283,0.7595092654,1.416403651,0.58013165,0.1001065895,0.214613229
13,Austria,7.006000042,1.487097263,0.8153284192,1.459944963,0.5677661896,0.2210603654,0.3164723217
14,United States,6.993000031,1.546259284,0.7742866278,1.419920564,0.5057405233,0.1356387883,0.3925787807
15,Ireland,6.977000237,1.535706639,0.8097826242,1.558231115,0.573110342,0.2983881533,0.4278583229
16,Germany,6.951000214,1.487923384,0.7989507318,1.472520351,0.5625113845,0.2767319381,0.33626917
17,Belgium,6.890999794,1.463780761,0.8180918694,1.462312698,0.5397707224,0.2513431311,0.2315033376
18,Luxembourg,6.862999916,1.741943598,0.8450894952,1.457583666,0.5966278911,0.318834424,0.2831809819
19,United Kingdom,6.714000225,1.44163394,0.8053359389,1.49646008,0.5081900358,0.2654280663,0.4927741587
20,Chile,6.65199995,1.25278461,0.8194797039,1.284024954,0.3768952787,0.08228798211,0.3266624212
21,United Arab Emirates,6.647999763,1.626343369,0.7267982364,1.266410232,0.6083452702,0.3244895637,0.3609419465
22,Brazil,6.635000229,1.10735321,0.6165523529,1.431306005,0.4374537468,0.1110927612,0.1623498946
23,Czech Republic,6.609000206,1.352682352,0.7544440031,1.433885217,0.4909461737,0.0368729271,0.08810675889
24,Argentina,6.598999977,1.185295463,0.6951370835,1.440451145,0.4945192039,0.05973988771,0.1094570607
25,Mexico,6.578000069,1.153183818,0.7099789977,1.21086216,0.4127300084,0.1327741146,0.1209904328
26,Singapore,6.572000027,1.69227767,0.9494923949,1.353814363,0.5498405695,0.464307785,0.3459659815
27,Malta,6.52699995,1.343279839,0.8219442368,1.488411665,0.5887670517,0.1530660689,0.5747305751
28,Uruguay,6.453999996,1.217559695,0.7192168236,1.412227869,0.5793922544,0.1780618727,0.1750969291
29,Guatemala,6.453999996,0.872001946,0.5402399898,1.255585194,0.5313106179,0.07722327858,0.2834883928
30,Panama,6.452000141,1.233748436,0.7061561346,1.373192549,0.550026834,0.07098392397,0.2105569392
31,France,6.441999912,1.430923462,0.8444658518,1.387776852,0.4702221155,0.1725024283,0.1297623068
32,Thailand,6.423999786,1.127868772,0.6472390294,1.425792456,0.5802007318,0.03161273524,0.5721231103
