Overall Score,Country,Happiness Score,GDP per capita,Life Expectancy,Social Support,Freedom,Trust,Generosity
55,Slovenia,5.848,1.18498,0.87337,1.27385,0.60855,0.03787,0.25328
56,Lithuania,5.833,1.14723,0.73128,1.25745,0.21342,0.01031,0.02641
57,Nicaragua,5.828,0.59325,0.74314,1.14184,0.55475,0.19317,0.27815
58,Peru,5.824,0.90019,0.73017,0.97459,0.41496,0.05989,0.14982
59,Belarus,5.813,1.03192,0.73608,1.23289,0.37938,0.1909,0.11046
60,Poland,5.791,1.12555,0.77903,1.27948,0.53122,0.04212,0.16759
61,Malaysia,5.77,1.12486,0.72394,1.07023,0.53024,0.10501,0.33075
62,Croatia,5.759,1.08254,0.78805,0.79624,0.25883,0.0243,0.05444
63,Libya,5.754,1.13145,0.7038,1.11862,0.41668,0.11023,0.18295
64,Russia,5.716,1.13764,0.66926,1.23617,0.36679,0.03005,0.00199
65,Jamaica,5.709,0.81038,0.68741,1.15102,0.50442,0.02299,0.2123
66,North Cyprus,5.695,1.20806,0.92356,1.07008,0.49027,0.1428,0.26169
67,Cyprus,5.689,1.20813,0.92356,0.89318,0.40672,0.06146,0.30638
68,Algeria,5.605,0.93929,0.61766,1.07772,0.28579,0.17383,0.07822
69,Kosovo,5.589,0.80148,0.63132,0.81198,0.24749,0.04741,0.2831
70,Turkmenistan,5.548,0.95847,0.53886,1.22668,0.4761,0.30844,0.16979
71,Mauritius,5.477,1.00761,0.7095,0.98521,0.56066,0.07521,0.37744
72,Hong Kong,5.474,1.38604,1.01328,1.05818,0.59608,0.37124,0.39478
73,Estonia,5.429,1.15174,0.77361,1.22791,0.44888,0.15184,0.0868
74,Indonesia,5.399,0.82827,0.63793,1.08708,0.46611,0,0.51535
75,Vietnam,5.36,0.63216,0.74676,0.91226,0.59444,0.10441,0.1686
76,Turkey,5.332,1.06098,0.73172,0.94632,0.22815,0.15746,0.12253
77,Kyrgyzstan,5.286,0.47428,0.65088,1.15115,0.43477,0.04232,0.3003
78,Nigeria,5.268,0.65435,0.16007,0.90432,0.34334,0.0403,0.27233
79,Bhutan,5.253,0.77042,0.57407,1.10395,0.53206,0.15445,0.47998
80,Azerbaijan,5.212,1.02389,0.64045,0.93793,0.3703,0.16065,0.07799
81,Pakistan,5.194,0.59543,0.51466,0.41411,0.12102,0.10464,0.33671
82,Jordan,5.192,0.90198,0.69639,1.05392,0.40661,0.14293,0.11053
82,Montenegro,5.192,0.97438,0.72521,0.90557,0.1826,0.14296,0.1614
84,China,5.14,0.89012,0.81658,0.94675,0.51697,0.02781,0.08185
85,Zambia,5.129,0.47038,0.29924,0.91612,0.48827,0.12468,0.19591
86,Romania,5.124,1.04345,0.7689,0.88588,0.35068,0.00649,0.13748
87,Serbia,5.123,0.92053,0.74836,1.00964,0.20107,0.02617,0.19231
88,Portugal,5.102,1.15991,0.87519,1.13935,0.51469,0.01078,0.13719
89,Latvia,5.098,1.11312,0.72437,1.09562,0.29671,0.06332,0.18226
90,Philippines,5.073,0.70532,0.58114,1.03516,0.62545,0.12279,0.24991
91,Somaliland region,5.057,0.18847,0.43873,0.95152,0.46582,0.39928,0.50318
92,Morocco,5.013,0.73479,0.60954,0.64095,0.41691,0.08546,0.07172
93,Macedonia,5.007,0.91851,0.73545,1.00232,0.33457,0.05327,0.22359
94,Mozambique,4.971,0.08308,0.09131,1.02626,0.34037,0.15603,0.22269
95,Albania,4.959,0.87867,0.81325,0.80434,0.35733,0.06413,0.14272
96,Bosnia and Herzegovina,4.949,0.83223,0.79081,0.91916,0.09245,0.00227,0.24808
97,Lesotho,4.898,0.37545,0.07612,1.04103,0.31767,0.12504,0.16388
98,Dominican Republic,4.885,0.89537,0.66825,1.17202,0.57672,0.14234,0.21684
99,Laos,4.876,0.59066,0.54909,0.73803,0.59591,0.24249,0.42192
100,Mongolia,4.874,0.82819,0.60268,1.3006,0.43626,0.02666,0.3323
101,Swaziland,4.867,0.71206,0.07566,1.07284,0.30658,0.0306,0.18259
102,Greece,4.857,1.15406,0.88213,0.92933,0.07699,0.01397,0
103,Lebanon,4.839,1.02564,0.83947,0.80001,0.33916,0.04582,0.21854
104,Hungary,4.8,1.12094,0.75905,1.20215,0.32112,0.02758,0.128
105,Honduras,4.788,0.59532,0.6951,0.95348,0.40148,0.06825,0.23027
106,Tajikistan,4.786,0.39047,0.57379,0.85563,0.47216,0.15072,0.22974
107,Tunisia,4.739,0.88113,0.73793,0.60429,0.26268,0.06358,0.06431
108,Palestinian Territories,4.715,0.59867,0.66015,0.92558,0.24499,0.12905,0.11251
109,Bangladesh,4.694,0.39753,0.60164,0.43106,0.4082,0.12569,0.21222
110,Iran,4.686,1.0088,0.69805,0.54447,0.30033,0.05863,0.38086
111,Ukraine,4.681,0.79907,0.6739,1.20278,0.25123,0.02961,0.15275
112,Iraq,4.677,0.98549,0.60237,0.81889,0,0.13788,0.17922
113,South Africa,4.642,0.92049,0.27688,1.18468,0.33207,0.08884,0.11973
114,Ghana,4.633,0.54558,0.40132,0.67954,0.42342,0.04355,0.23087
115,Zimbabwe,4.61,0.271,0.33475,1.03276,0.25861,0.08079,0.18987
116,Liberia,4.571,0.0712,0.34201,0.78968,0.28531,0.06232,0.24362
117,India,4.565,0.64499,0.51529,0.38174,0.39786,0.08492,0.26475
118,Sudan,4.55,0.52107,0.36878,1.01404,0.10081,0.1466,0.19062
119,Haiti,4.518,0.26673,0.38847,0.74302,0.24425,0.17175,0.46187
120,Congo (Kinshasa),4.517,0,0.09806,1.0012,0.22605,0.07625,0.24834
121,Nepal,4.514,0.35997,0.56874,0.86449,0.38282,0.05907,0.32296
122,Ethiopia,4.512,0.19073,0.44055,0.60406,0.4345,0.15048,0.24325
123,Sierra Leone,4.507,0.33024,0,0.95571,0.4084,0.08786,0.21488
124,Mauritania,4.436,0.45407,0.35874,0.86908,0.24232,0.17461,0.219
125,Kenya,4.419,0.36471,0.41435,0.99876,0.42215,0.05839,0.37542
126,Djibouti,4.369,0.44025,0.36291,0.59207,0.46074,0.28105,0.18093
127,Armenia,4.35,0.76821,0.7299,0.77711,0.19847,0.039,0.07855
128,Botswana,4.332,0.99355,0.04776,1.10464,0.49495,0.12474,0.10461
129,Myanmar,4.307,0.27108,0.48246,0.70905,0.44017,0.19034,0.79588
130,Georgia,4.297,0.7419,0.72926,0.38562,0.40577,0.38331,0.05547
131,Malawi,4.292,0.01604,0.22562,0.41134,0.43054,0.06977,0.33128
132,Sri Lanka,4.271,0.83524,0.70806,1.01905,0.53726,0.09179,0.40828
133,Cameroon,4.252,0.4225,0.23402,0.88767,0.49309,0.05786,0.20618
134,Bulgaria,4.218,1.01216,0.76649,1.10614,0.30587,0.00872,0.11921
135,Egypt,4.194,0.8818,0.61712,0.747,0.17288,0.06324,0.11291
136,Yemen,4.077,0.54649,0.40064,0.68093,0.35571,0.07854,0.09131
137,Angola,4.033,0.75778,0.16683,0.8604,0.10384,0.07122,0.12344
138,Mali,3.995,0.26074,0.20583,1.03526,0.38857,0.12352,0.18798
139,Congo (Brazzaville),3.989,0.67866,0.31051,0.6629,0.41466,0.11686,0.12388
140,Comoros,3.956,0.23906,0.36315,0.79273,0.22917,0.199,0.17441
141,Uganda,3.931,0.21102,0.33861,1.13299,0.45727,0.07267,0.29066
142,Senegal,3.904,0.36498,0.4354,0.97619,0.36772,0.10713,0.20843
143,Gabon,3.896,1.06024,0.43372,0.90528,0.31914,0.11091,0.06822
144,Niger,3.845,0.0694,0.29707,0.77265,0.47692,0.15639,0.19387
145,Cambodia,3.819,0.46038,0.61114,0.62736,0.66246,0.07247,0.40359
146,Tanzania,3.781,0.2852,0.38215,1.00268,0.32878,0.05747,0.34377
147,Madagascar,3.681,0.20824,0.46721,0.66801,0.19184,0.08124,0.21333
148,Central African Republic,3.678,0.0785,0.06699,0,0.48879,0.08289,0.23835
149,Chad,3.667,0.34193,0.1501,0.76062,0.23501,0.05269,0.18386
150,Guinea,3.656,0.17417,0.24009,0.46475,0.37725,0.12139,0.28657
151,Ivory Coast,3.655,0.46534,0.15185,0.77115,0.46866,0.17922,0.20165
152,Burkina Faso,3.587,0.25812,0.27125,0.85188,0.39493,0.12832,0.21747
153,Afghanistan,3.575,0.31982,0.30335,0.30285,0.23414,0.09719,0.3651
154,Rwanda,3.465,0.22208,0.42864,0.7737,0.59201,0.55191,0.22628
155,Benin,3.34,0.28665,0.3191,0.35386,0.4845,0.0801,0.1826
156,Syria,3.006,0.6632,0.72193,0.47489,0.15684,0.18906,0.47179
157,Burundi,2.905,0.0153,0.22396,0.41587,0.1185,0.10062,0.19727
158,Togo,2.839,0.20868,0.28443,0.13995,0.36453,0.10731,0.16681
