Overall Score,Country,Happiness Score,GDP per capita,Life Expectancy,Social Support,Freedom,Trust,Generosity
1,Switzerland,7.587,1.39651,0.94143,1.34951,0.66557,0.41978,0.29678
2,Iceland,7.561,1.30232,0.94784,1.40223,0.62877,0.14145,0.4363
3,Denmark,7.527,1.32548,0.87464,1.36058,0.64938,0.48357,0.34139
4,Norway,7.522,1.459,0.88521,1.33095,0.66973,0.36503,0.34699
5,Canada,7.427,1.32629,0.90563,1.32261,0.63297,0.32957,0.45811
6,Finland,7.406,1.29025,0.88911,1.31826,0.64169,0.41372,0.23351
7,Netherlands,7.378,1.32944,0.89284,1.28017,0.61576,0.31814,0.4761
8,Sweden,7.364,1.33171,0.91087,1.28907,0.6598,0.43844,0.36262
9,New Zealand,7.286,1.25018,0.90837,1.31967,0.63938,0.42922,0.47501
10,Australia,7.284,1.33358,0.93156,1.30923,0.65124,0.35637,0.43562
11,Israel,7.278,1.22857,0.91387,1.22393,0.41319,0.07785,0.33172
12,Costa Rica,7.226,0.95578,0.86027,1.23788,0.63376,0.10583,0.25497
13,Austria,7.2,1.33723,0.89042,1.29704,0.62433,0.18676,0.33088
14,Mexico,7.187,1.02054,0.81444,0.91451,0.48181,0.21312,0.14074
15,United States,7.119,1.39451,0.86179,1.24711,0.54604,0.1589,0.40105
16,Brazil,6.983,0.98124,0.69702,1.23287,0.49049,0.17521,0.14574
17,Luxembourg,6.946,1.56391,0.91894,1.21963,0.61583,0.37798,0.28034
18,Ireland,6.94,1.33596,0.89533,1.36948,0.61777,0.28703,0.45901
19,Belgium,6.937,1.30782,0.89667,1.28566,0.5845,0.2254,0.2225
20,United Arab Emirates,6.901,1.42727,0.80925,1.12575,0.64157,0.38583,0.26428
21,United Kingdom,6.867,1.26637,0.90943,1.28548,0.59625,0.32067,0.51912
22,Oman,6.853,1.36011,0.76276,1.08182,0.63274,0.32524,0.21542
23,Venezuela,6.81,1.04424,0.72052,1.25596,0.42908,0.11069,0.05841
24,Singapore,6.798,1.52186,1.02525,1.02,0.54252,0.4921,0.31105
25,Panama,6.786,1.06353,0.79661,1.1985,0.5421,0.0927,0.24434
26,Germany,6.75,1.32792,0.89186,1.29937,0.61477,0.21843,0.28214
27,Chile,6.67,1.10715,0.85857,1.12447,0.44132,0.12869,0.33363
28,Qatar,6.611,1.69042,0.79733,1.0786,0.6404,0.52208,0.32573
29,France,6.575,1.27778,0.94579,1.26038,0.55011,0.20646,0.12332
30,Argentina,6.574,1.05351,0.78723,1.24823,0.44974,0.08484,0.11451
31,Czech Republic,6.505,1.17898,0.84483,1.20643,0.46364,0.02652,0.10686
32,Uruguay,6.485,1.06166,0.8116,1.2089,0.60362,0.24558,0.2324
33,Colombia,6.477,0.91861,0.69077,1.24018,0.53466,0.0512,0.18401
34,Thailand,6.455,0.9669,0.7385,1.26504,0.55664,0.03187,0.5763
35,Saudi Arabia,6.411,1.39541,0.72025,1.08393,0.31048,0.32524,0.13706
36,Spain,6.329,1.23011,0.95562,1.31379,0.45951,0.06398,0.18227
37,Malta,6.302,1.2074,0.88721,1.30203,0.60365,0.13586,0.51752
38,Taiwan,6.298,1.29098,0.8753,1.07617,0.3974,0.08129,0.25376
39,Kuwait,6.295,1.55422,0.72492,1.16594,0.55499,0.25609,0.16228
40,Suriname,6.269,0.99534,0.6082,0.972,0.59657,0.13633,0.16991
41,Trinidad and Tobago,6.168,1.21183,0.61483,1.18354,0.55884,0.0114,0.31844
42,El Salvador,6.13,0.76454,0.67737,1.02507,0.4035,0.11776,0.10692
43,Guatemala,6.123,0.74553,0.64425,1.04356,0.57733,0.09472,0.27489
44,Uzbekistan,6.003,0.63244,0.59772,1.34043,0.65821,0.30826,0.22837
45,Slovakia,5.995,1.16891,0.78902,1.26999,0.31751,0.03431,0.16893
46,Japan,5.987,1.27074,0.99111,1.25712,0.49615,0.1806,0.10705
47,South Korea,5.984,1.24461,0.96538,0.95774,0.33208,0.07857,0.18557
48,Ecuador,5.975,0.86402,0.79075,0.99903,0.48574,0.1809,0.11541
49,Bahrain,5.96,1.32376,0.74716,1.21624,0.45492,0.306,0.17362
50,Italy,5.948,1.25114,0.95446,1.19777,0.26236,0.02901,0.22823
51,Bolivia,5.89,0.68133,0.5392,0.97841,0.57414,0.088,0.20536
52,Moldova,5.889,0.59448,0.61826,1.01528,0.32818,0.01615,0.20951
53,Paraguay,5.878,0.75985,0.66098,1.30477,0.53899,0.08242,0.3424
54,Kazakhstan,5.855,1.12254,0.64368,1.12241,0.51649,0.08454,0.11827
